id,text,tags,created_at,modified_at,location,stream_ids,stream_names
000000000000000006669312,"You can get my Resume from the following link,
Http://python2.Wordpress.com/resumes/, I need to know where you intend to send my Resume before it is to be sent.",,2010-05-19 20:12:22.893000,2010-05-19 20:20:34.220000,,00000000000000000065c3f4,My Ideas
000000000000000006669333,"Mozilla/5.0 (Linux; U; Android 2.1-update1; en-us; ADR6300 Build/ERE27) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17,gzip(gfe),gzip(gfe)",,2010-07-07 19:32:04.131000,2010-07-07 19:32:04.131000,,00000000000000000065c3f4,My Ideas
000000000000000006669342,"RT @mycreditmatters Boost your credit score today, learn the secrets today !!!  http://bit.ly/9ZveK3  (http://bit.ly/aczVLS )",,2010-07-10 19:14:55.278000,2010-07-10 22:13:18.829000,,00000000000000000065c3f4,My Ideas
000000000000000006669356,Man in the middle proxy based #JavaScript injection.,JavaScript,2010-08-13 19:22:30.475000,2010-08-16 23:21:42.119000,,00000000000000000065c3f4,My Ideas
000000000000000006669305,"Welcome to Snaptic

Snaptic helps you create, organize and sync notes between the web and your mobile devices.

Create it!
Let your mind take a break and offload your thoughts, findings, and images with us.

Organize it!
Simply prefix any word in a note with ""#"" to make it a tag: #example
Sync It!
Press the Settings button from the notes list to sign in or create a new Snaptic account. It's quick, free, and secure.

Your notes, anywhere, anytime: https://snaptic.com.

email: feedback@snaptic.com
twitter: http://twitter.com/snaptic

#Welcome #Snaptic 
","Welcome, example, Snaptic",2010-08-16 23:25:12.787000,2010-08-16 23:25:12.787000,,00000000000000000065c3f4,My Ideas
000000000000000006669365,"#vyperblog

#Flash mode for those who have flash player 10.1.

#mobile mode for those using mobile browser.

#air support for Air based browsers.

#air client similar to Flash client, built into Admin Tool.","mobile, Flash, vyperblog, air",2010-08-16 23:24:46.889000,2010-08-16 23:46:42.245000,,00000000000000000065c3f4,My Ideas
000000000000000006759378,#Android #Bluetooth monitor that tracks distance between phone and known paired Bluetooth devices that are powered.,"Android, Bluetooth",2010-08-18 15:44:43.362000,2010-08-18 15:44:43.362000,,00000000000000000065c3f4,My Ideas
000000000000000006815118,#Android app to have better sex. Sex advice. Techniques.,Android,2010-08-19 16:26:56.645000,2010-08-19 16:26:56.645000,,00000000000000000065c3f4,My Ideas
000000000000000006814261,"#vyperlogix says HTML5 cannot defend against soft JavaScript injection hacks, Flex4 can... http://bit.ly/blgReX click to learn!",vyperlogix,2010-08-19 16:02:14.475000,2010-08-19 19:02:54.419000,,00000000000000000065c3f4,My Ideas
000000000000000006869734,"#VyperLogix needs your support, PLS make a PayPal donation today to sales@vyperlogix.com for any amount. Donations are gratefully accepted.",VyperLogix,2010-08-20 16:26:37.392000,2010-08-20 16:26:37.392000,,00000000000000000065c3f4,My Ideas
